case,Mt_target,viscosity,stationary_Re_mean,stationary_Re_std,Re_relative_error,Mt_mean,K_mean,WENO_mean,eps_nu_mean,P_hv_mean,recommended_viscosity_next,selected_samples,approx_t0,approx_t1
calib_Mt040_N256_mu0p001140,0.4,0.00114,125.32325471698113,6.932552231649844,-0.0359749637155298,0.40012688679245284,0.07767019768867925,0.12428301886792453,0.0025461320754716983,4.207608490566038e-05,0.001098988541364296,212,15.707963267948966,62.83185307179586
calib_Mt050_N256_mu0p001316,0.5,0.00131565,130.25,6.959977459628163,0.0019230769230769232,0.5013142201834863,0.12071281697247706,0.15351376146788992,0.004651293577981651,7.688412844036698e-05,0.0013181800961538461,218,12.566370614359172,50.26548245743669
calib_Mt060_N256_mu0p001414,0.6,0.00141405,122.36266932270917,6.067493726878692,-0.058748697517621795,0.6006661354581674,0.17231491593625498,0.27650597609561756,0.009316099601593625,0.0001635446215139442,0.0013309764042752068,251,10.471975511965978,41.88790204786391
