libEGL warning: DRI3 error: Could not get DRI3 device
libEGL warning: Ensure your X server supports DRI3 to get accelerated rendering
Using CUDA device: NVIDIA RTX PRO 5000 Blackwell
GPU hybrid 2D Euler Config 3: nx=512, ny=512, adaptive CFL=0.05, tfinal=0.85, device=0
step= 12000, time=0.263350, dt=2.05289e-05, chunk=40.98 ms/step, avg=40.97 ms/step, pool=8.0/327.3 MiB
step= 12250, time=0.268482, dt=2.05197e-05, chunk=40.98 ms/step, avg=40.97 ms/step, pool=8.0/327.3 MiB
step= 12500, time=0.273602, dt=2.04702e-05, chunk=41.00 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 12750, time=0.278714, dt=2.04390e-05, chunk=41.00 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 13000, time=0.283815, dt=2.03762e-05, chunk=41.01 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 13250, time=0.288906, dt=2.03665e-05, chunk=41.01 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 13500, time=0.293987, dt=2.02944e-05, chunk=41.00 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 13750, time=0.299050, dt=2.02467e-05, chunk=41.00 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 14000, time=0.304129, dt=2.03181e-05, chunk=41.00 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 14250, time=0.309205, dt=2.03257e-05, chunk=40.99 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 14500, time=0.314285, dt=2.03004e-05, chunk=40.99 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 14750, time=0.319357, dt=2.02777e-05, chunk=41.00 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 15000, time=0.324416, dt=2.02174e-05, chunk=40.99 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 15250, time=0.329463, dt=2.00795e-05, chunk=40.98 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 15500, time=0.334496, dt=2.01841e-05, chunk=40.97 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 15750, time=0.339531, dt=2.01406e-05, chunk=40.97 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 16000, time=0.344548, dt=1.99831e-05, chunk=40.98 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 16250, time=0.349560, dt=1.99562e-05, chunk=40.97 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 16500, time=0.354568, dt=2.01673e-05, chunk=40.98 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 16750, time=0.359600, dt=2.00736e-05, chunk=40.97 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 17000, time=0.364601, dt=1.99382e-05, chunk=40.98 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 17250, time=0.369583, dt=2.00016e-05, chunk=41.00 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 17500, time=0.374588, dt=2.00441e-05, chunk=41.00 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 17750, time=0.379590, dt=1.99717e-05, chunk=41.00 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 18000, time=0.384552, dt=1.97027e-05, chunk=41.00 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 18250, time=0.389494, dt=1.97723e-05, chunk=40.98 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 18500, time=0.394442, dt=1.98278e-05, chunk=40.99 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 18750, time=0.399402, dt=1.98766e-05, chunk=41.08 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 19000, time=0.404368, dt=1.99107e-05, chunk=40.99 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 19250, time=0.409326, dt=1.98477e-05, chunk=41.00 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 19500, time=0.414268, dt=1.96618e-05, chunk=40.99 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 19750, time=0.419221, dt=1.98395e-05, chunk=41.00 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 20000, time=0.424220, dt=2.00877e-05, chunk=41.00 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 20250, time=0.429254, dt=2.01770e-05, chunk=40.99 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 20500, time=0.434268, dt=2.00410e-05, chunk=40.99 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 20750, time=0.439255, dt=1.98143e-05, chunk=40.96 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 21000, time=0.444205, dt=1.99763e-05, chunk=40.98 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 21250, time=0.449209, dt=1.99994e-05, chunk=41.00 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 21500, time=0.454201, dt=1.98765e-05, chunk=41.11 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 21750, time=0.459154, dt=1.96770e-05, chunk=40.96 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 22000, time=0.464072, dt=1.96236e-05, chunk=40.98 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 22250, time=0.468963, dt=1.94580e-05, chunk=40.98 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 22500, time=0.473805, dt=1.92874e-05, chunk=40.97 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 22750, time=0.478616, dt=1.91156e-05, chunk=40.98 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 23000, time=0.483397, dt=1.89620e-05, chunk=40.99 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 23250, time=0.488207, dt=1.93318e-05, chunk=40.97 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 23500, time=0.493006, dt=1.90754e-05, chunk=40.98 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 23750, time=0.497743, dt=1.88576e-05, chunk=40.97 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 24000, time=0.502436, dt=1.86859e-05, chunk=40.99 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 24250, time=0.507130, dt=1.88026e-05, chunk=40.99 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 24500, time=0.511820, dt=1.87188e-05, chunk=40.98 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 24750, time=0.516507, dt=1.87909e-05, chunk=40.97 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 25000, time=0.521216, dt=1.89556e-05, chunk=40.98 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 25250, time=0.525973, dt=1.90312e-05, chunk=40.98 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 25500, time=0.530716, dt=1.90055e-05, chunk=40.99 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 25750, time=0.535468, dt=1.89802e-05, chunk=41.00 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 26000, time=0.540251, dt=1.92428e-05, chunk=40.99 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 26250, time=0.545072, dt=1.92864e-05, chunk=41.00 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 26500, time=0.549955, dt=1.97054e-05, chunk=41.00 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 26750, time=0.554908, dt=1.99621e-05, chunk=41.02 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 27000, time=0.559898, dt=1.99892e-05, chunk=41.01 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 27250, time=0.564882, dt=1.97846e-05, chunk=40.98 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 27500, time=0.569789, dt=1.95671e-05, chunk=40.99 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step= 27750, time=0.574647, dt=1.93604e-05, chunk=41.18 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 28000, time=0.579461, dt=1.91348e-05, chunk=41.17 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 28250, time=0.584190, dt=1.88401e-05, chunk=41.35 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 28500, time=0.588880, dt=1.86775e-05, chunk=40.98 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
