case,nx,ny,target_Mt,seed,cfl,initial_Re_lambda_2d,viscosity,sensor_mode,weno_flux_splitting,mn,hyperviscosity_interval,selected_t0,selected_t1,selected_turnover0,selected_turnover1,snapshots,mean_K,std_K,mean_Mt,std_Mt,mean_A_K,mean_C_uv,E_LL_normalized,E_NN_normalized,mean_Re_lambda_2d,std_Re_lambda_2d,mean_WENO,mean_WENO_x,mean_WENO_y,physical_dissipation,HV_drain,eta_over_dx,kmax_eta,kraichnan_over_dx,kmax_kraichnan,mass_error_final,mean_chi_d,high_k_energy_ratio,high_k_enstrophy_ratio,HV_to_physical
grid_Mt025_N128_seed1234,128,128,0.25,1234,0.1,120.00000000000001,0.0007560700962167517,legacy,local,0.005,5,25.99839382837214,96.36297175087603,4.151857731810992,15.35690090431696,17,0.03098698613301068,0.0022356286752579536,0.2504039858962305,0.00889465992044993,0.1136519594299069,-0.01399004995054182,0.0781031451893863,0.08342256177087302,131.87412971669605,5.79564679403213,0.12492190532802795,0.12492190532802795,0.12492190532802795,0.0005709049802765705,6.369878968418684e-05,0.6026081005928969,1.893149181816344,1.1044357776008396,3.469687325272529,-1.6001422409317456e-10,0.015257198849307253,1.649241645998071,2.05092724031724,0.11157511649894603
grid_Mt025_N256_seed1234,256,256,0.25,1234,0.1,120.0,0.0007560700962167512,legacy,local,0.005,5,26.19296827031158,100.16794748033195,4.16751278098746,15.962417645724969,18,0.030918715729676124,0.0013954105834735877,0.25024735392416714,0.005464425815988992,0.1354359954229737,-0.041397829637223466,0.1546171554217652,0.24372370087358444,130.58452346475258,5.3019632414848745,0.061447500485425806,0.061447500485425806,0.061447500485425806,0.0005869192622081059,1.1513645044025526e-05,1.195596972514333,3.756078665505226,2.114899756590753,6.64415353838435,-3.219042810087558e-10,0.012993067022554115,0.0,3.921097200992617,0.01961708498151675
grid_Mt025_N512_seed1234,512,512,0.25,1234,0.1,120.0,0.0007560700962167515,legacy,local,0.005,5,26.445129328193005,96.09527994057012,4.213614585024118,15.304722952575709,17,0.03077534694092985,0.00041141949235229294,0.25011027514526374,0.0016815169696544512,0.08287860830820229,-0.0372222466045705,0.09065491616826234,0.08642169993306457,130.17822978639038,7.558016610420771,0.03709020673858453,0.03709020673858453,0.03709020673858453,0.000565675738829795,1.4390132046259969e-06,2.4118481454564793,7.577044415340242,4.264142750313971,13.396199538244545,-6.404619057320815e-10,0.012688222069023173,0.0,0.0,0.002543883546433973
mach_Mt010_N256_seed1234,256,256,0.1,1234,0.1,120.0,0.0003024280384867006,legacy,local,0.005,5,65.56054076037293,249.71907479110828,4.167774628420684,15.888485766877078,15,0.0050159546153423365,0.0006395287757253133,0.1000771754035021,0.0064148598706535625,0.10857641286174748,-0.08124060685929242,0.1098915402033811,0.036693427771335586,131.5932106119003,7.8420453626813,0.021262635575964094,0.021262635575964094,0.021262635575964094,3.726571959373943e-05,1.2999912195863845e-06,1.2049395359251178,3.7854291940822447,2.19268599830524,6.888526223904945,-6.703047006340057e-10,0.0020497385944147142,0.0,0.0,0.03488437185055137
mach_Mt050_N256_seed1234,256,256,0.5,1234,0.1,120.0,0.0015121401924335024,legacy,local,0.005,5,14.058748272201797,50.09357091673612,4.442235840515254,15.945894173572936,22,0.12010200243756447,0.005636014463176111,0.5005085952093702,0.012073511442730571,0.08370782586506255,0.052224149110848425,0.03423136052991482,0.11162711696830933,113.10754439360701,5.543584256554328,0.1590571109717491,0.1590571109717491,0.1590571109717491,0.005304644426624112,7.335989860000007e-05,1.1595584086486168,3.642860178018766,2.0324658395821635,6.385179750303535,-1.9942802964578732e-10,0.04968437424272606,0.7467649717020343,2.186531419810543,0.013829371528052916
mach_Mt060_N256_seed1234,256,256,0.6,1234,0.1,120.0,0.0018145682309202032,legacy,local,0.005,5,10.877923885720504,41.1985458875872,4.115640253511414,15.820547808361008,24,0.17082740781389325,0.007017820863474388,0.6005557899578162,0.01126372505747899,0.08588577388328889,0.029556166091757218,0.18764525026063344,0.2431070693713698,101.30607315910672,4.9524944130955175,0.22349542034559014,0.22349542034559014,0.22349542034559014,0.01088081914315707,0.00013362286596682038,1.1107380091700385,3.489486369671545,1.9322428389871698,6.070319907913577,-1.7700330090519856e-10,0.06987166788634308,0.6645980593805028,1.9849972665874607,0.012280588824128705
repeat_Mt025_N256_seed5678,256,256,0.25,5678,0.1,120.0,0.0007560700962167511,legacy,local,0.005,5,26.231543075846897,96.43882753058986,4.177593301871892,15.35665384663764,17,0.03087205560647992,0.0004931193930834715,0.24998664230813694,0.002021086864537355,0.08881735415094263,-0.038862055158039796,0.1076802481520916,0.182588949778688,127.2671453612711,7.002324475670314,0.06993775930463897,0.06993775930463897,0.06993775930463897,0.0006046617398224947,1.208003482824554e-05,1.185584964673245,3.724625015223981,2.097021408049034,6.587987049947368,-3.193036945958738e-10,0.01639140305423152,0.0,1.157825843718226,0.019978169665227658
