case,mn,cfl,hyperviscosity_mode,hyperviscosity_interval,dynamic_viscosity,requested_initial_re_lambda_2d,mean_re_lambda_2d,mean_kinetic_energy,mean_turbulent_mach,mean_weno_fraction,mean_physical_viscous_dissipation,mean_hyperviscosity_drain_power,hyperviscosity_to_physical_ratio,hyperviscosity_mass_change_cumulative_final,mean_hyperviscosity_nominal_rate,mean_dilatational_energy_fraction,stationary_samples,max_turnover,high_k_energy_ratio,high_k_enstrophy_ratio,spectral_dilatational_fraction
mn0p001_CFL0p10,0.001,0.1,conservative_flux,5,0.0007560700962167512,120.0,130.05345294356016,0.030960508281624513,0.2505157916084737,0.06189249873425799,0.0005870940343678638,2.5870330767649555e-06,0.0044065054749712574,-6.83940015733242e-10,0.2286075917230925,0.011138159736978587,86,11.146212934911103,0.0,1.7273647590603485,0.011559748783690415
mn0p002_CFL0p05,0.002,0.05,conservative_flux,5,0.0007560700962167512,120.0,120.31736384876675,0.03082623033949965,0.249937840065035,0.0675526536368766,0.000673988599242218,1.1177429561773886e-05,0.016584003905022942,-4.409230314195156e-09,0.9331076713371464,0.012530719771983213,176,11.145189505874768,0.0,1.3718603642622587,0.012422910661291532
mn0p002_CFL0p10,0.002,0.1,conservative_flux,5,0.0007560700962167512,120.0,127.3733580322862,0.03088672816271027,0.2504949558221388,0.06037005799734618,0.0005961704625451714,4.952563512782089e-06,0.008307294346047607,-1.1059455573558807e-09,0.4636640966388111,0.012205493336017845,87,11.142697597178355,2.3535054729467544,3.32586382179234,0.012256374105460339
mn0p002_CFL0p20,0.002,0.2,conservative_flux,5,0.0007560700962167512,120.0,123.32148684011088,0.030932657163391167,0.2505356624923221,0.06957208500120757,0.0006501085519475679,2.9084852127755674e-06,0.004473845489437802,7.785274647176266e-10,0.2323348446435227,0.014887058745785704,44,11.135113889072427,0.0,1.4265922910048032,0.014688845327715347
mn0p005_CFL0p10,0.005,0.1,conservative_flux,5,0.0007560700962167512,120.0,129.86448206998253,0.030932901723970792,0.25041380533341306,0.06224283035954936,0.00056959047206813,1.1196599931533999e-05,0.01965728094235879,-1.1132215149700642e-09,1.1461511880823685,0.012267720653165592,86,11.148280028547157,0.0,1.055568748198965,0.012446859416233342
mn0p010_CFL0p10,0.01,0.1,conservative_flux,5,0.0007560700962167512,120.0,130.15466229235304,0.030856993470295583,0.2502837624154165,0.06030305459341648,0.0005763510498446267,2.2498166912951577e-05,0.0390355269050289,4.2928149923682213e-10,2.3263525882806286,0.011642590516774902,88,11.14679292827275,0.0,1.013377860110215,0.0117900401173957
