case,mn,hyperviscosity_interval,dynamic_viscosity,requested_initial_re_lambda_2d,mean_re_lambda_2d,mean_kinetic_energy,mean_turbulent_mach,mean_weno_fraction,mean_physical_viscous_dissipation,mean_hyperviscosity_drain_power,hyperviscosity_to_physical_ratio,mean_dilatational_energy_fraction,stationary_samples,max_turnover,high_k_energy_ratio,high_k_enstrophy_ratio,spectral_dilatational_fraction
Mt0p25_ReL120_N256_mn0p0000,0.0,5,0.0007560700962167512,120.0,32.13674521451941,0.031125755271183157,0.25094078742233805,0.03643096522498418,0.006859617806394092,0.0,0.0,0.01437184682638719,173,11.1418948247864,8.012359068820928,7.0471111505190525,0.01529670398743335
Mt0p25_ReL120_N256_mn0p0005,0.0005,5,0.0007560700962167512,120.0,126.9826379421724,0.030939986569010702,0.2501611660191717,0.0638597198155939,0.0005956665757251933,1.48122472480776e-06,0.002486667516982039,0.01189931200595581,173,11.152051308985548,3.1088274194802623,3.0710306580197475,0.012462526595841374
Mt0p25_ReL120_N256_mn0p0010,0.001,5,0.0007560700962167512,120.0,130.10290425455827,0.030962590292379334,0.2505351487626177,0.06201482602745357,0.0005870833707706422,2.564800868488677e-06,0.004368716601735729,0.011140297699254315,172,11.145222279116595,0.0,2.6798969098879537,0.011607665931863452
Mt0p25_ReL120_N256_mn0p0020,0.002,5,0.0007560700962167512,120.0,137.94755713991412,0.030770285461608503,0.24955504939331127,0.06581366158058667,0.0004855325659995685,3.6692017764616427e-06,0.007557066267857517,0.011459283276514465,169,11.13584361079647,0.0,1.313426377093341,0.011594730395168175
