case,Mt_target,snapshot_count,chi_d,chi_d_temporal_mean,chi_d_temporal_std,Mt_mean,Mt_std,Re_lambda_mean,Re_lambda_std,WENO_mean,WENO_std,dilatation_skewness_temporal_mean,dilatation_skewness_temporal_std,dilatation_flatness_temporal_mean,dilatation_flatness_temporal_std,vorticity_skewness_temporal_mean,vorticity_skewness_temporal_std,vorticity_flatness_temporal_mean,vorticity_flatness_temporal_std,pressure_skewness_temporal_mean,pressure_skewness_temporal_std,pressure_flatness_temporal_mean,pressure_flatness_temporal_std,density_skewness_temporal_mean,density_skewness_temporal_std,density_flatness_temporal_mean,density_flatness_temporal_std
Mt010_N512,0.1,15.0,0.002218826216744774,0.002223280701970732,0.0003701427068918865,0.10035270631532818,0.004697063658190135,129.43611385177292,8.764504415987584,0.01495482446507521,0.0061021359934150836,-0.0814277637423794,0.17760402047100476,3.0442159788885377,0.22069616959979094,-0.05806217033991442,0.31437085504192297,3.2734105371838624,0.3267490296010643,-0.6877453524285053,0.2962349852446656,4.5467565676643025,1.2702047121445361,-0.7759781429799425,0.30115071129813337,4.815055247301232,1.3757538770201296
Mt025_N512,0.25,17.0,0.012688220694343912,0.012689102071483601,0.0021533461811131106,0.25018991759824455,0.0017051816800572309,130.76898319031622,7.674673869896762,0.03709444937927597,0.005665265021734171,-0.5764422332401821,0.28850852655947073,5.4145749844668085,1.9651026275055583,-0.21873444557514582,0.1304453246470309,3.0873385148245744,0.23060557617552374,-0.557560292719482,0.3581631221475067,4.055418258538355,0.921992298505048,-0.7443450662819331,0.3884795098014425,4.581976693498042,1.227100211467246
Mt040_N512,0.4,21.0,0.029113424595129635,0.029068620337521354,0.00587262089481327,0.4002188452868688,0.007196083307845606,132.56003960029318,6.6755970639872,0.061757311149989,0.007886992215658403,-5.8406618431048525,4.102843757672647,160.48890822074722,211.09390893543195,-0.02679151240551115,0.2047808593347339,2.972540671169882,0.18220534405071775,-0.1751601141834351,0.16798430223548477,3.233227528074567,0.5589077232075373,-0.3895319860430001,0.19382533047936773,3.5208604476299117,0.7560587143591422
Mt050_N512,0.5,22.0,0.05067988319891464,0.05069528594347577,0.009805658003330659,0.49949884553375556,0.01092247549370018,125.37147849239172,6.161992895290927,0.07204046039313071,0.007643495035460412,-7.653929974287177,1.8301905127702298,142.89927566177013,62.963690906321844,-0.12318677519557063,0.14070789277941997,2.9609300303122184,0.2848604553253805,0.18406707759365204,0.2722665731660071,3.2771776738994545,0.49972123779935207,-0.09818907830121894,0.2816213627168715,3.2922989711876895,0.49138887065449605
Mt060_N512,0.6,24.0,0.07151754427024479,0.07153407259373111,0.011032535708273627,0.5986590795553608,0.01775962993223236,122.1854178462958,7.717578409373995,0.09931453693194169,0.012128593523404266,-8.037333680157163,1.498856438622979,132.62120390582194,57.13197090476318,0.016123471929165103,0.20860571237879327,2.9274435983733356,0.3758672044601589,0.4164933135177243,0.2029274443135823,3.1743092488081337,0.42697741558614166,0.15196830724464006,0.18386984606426565,2.914267877245121,0.2645106030101651
