case,Mt_target,Mt_mean,Mt_mean_std,K_mean,K_mean_std,Re_lambda_mean,Re_lambda_mean_std,WENO_mean,WENO_mean_std,chi_d,A_K_mean,C_uv_mean,E_LL_normalized,E_NN_normalized,eps_nu_mean,P_hv_mean,HV_to_viscous,mass_error_final,energy_cutoff_ratio,enstrophy_cutoff_ratio,dilatation_skewness,dilatation_flatness,vorticity_skewness,vorticity_flatness,pressure_skewness,pressure_flatness,density_skewness,density_flatness,parseval_error,helmholtz_error,density_weighted_parseval_error
Mt010_N512,0.1,0.10035270631532818,0.004697063658190135,0.00503455385639585,0.0004689824030132159,129.43611385177292,8.764504415987584,0.01495482446507521,0.0061021359934150836,0.002218826216744774,0.09989705066670558,0.024201809080498366,0.03765614,0.06795334,3.7162396710338077e-05,1.8676091087118686e-07,0.005025534610345314,-1.3328076420293655e-09,0.0,0.0,-0.08148488504843296,3.1300516525959017,-0.09124109576251843,3.3548823253482234,-0.7701932455794118,5.205819363055111,-0.8510513958775922,5.412134916335374,0.0,8.856681596632896e-17,3.365912690852836e-16
Mt025_N512,0.25,0.25018991759824455,0.0017051816800572309,0.030809177422877313,0.0004363485720003168,130.76898319031622,7.674673869896762,0.03709444937927597,0.005665265021734171,0.012688220694343912,0.08686890520341109,-0.028239930860158264,0.0906551,0.08642191,0.0005608859220004186,1.4210469726044126e-06,0.002533575753757913,-6.404548003047239e-10,0.0,0.0,-0.6094007398584561,5.764803419495837,-0.20691040489591264,3.0899943291360827,-0.5807768821670218,4.1718794895376865,-0.7770932781984586,4.753831642526361,0.0,1.6818817268041615e-16,1.127346169986779e-16
Mt040_N512,0.4,0.4002188452868688,0.007196083307845606,0.07727150646897973,0.0027698129102772303,132.56003960029318,6.6755970639872,0.061757311149989,0.007886992215658403,0.029113424595129635,0.11000635192323924,0.05347340229330707,0.06001776,0.1450285,0.002357918811884994,6.071444390043593e-06,0.0025749166423545728,-4.740741132991388e-10,0.0,1.6391603048782795,-6.482432324840455,201.0758085399175,-0.03264199145029587,2.9907425529909895,-0.18965914195742567,3.258694599697629,-0.40795536608867994,3.570584458650895,1.724290342879814e-16,2.413967042089232e-16,3.5860293563843353e-16
Mt050_N512,0.5,0.49949884553375556,0.01092247549370018,0.11870911206608976,0.005430265523883034,125.37147849239172,6.161992895290927,0.07204046039313071,0.007643495035460412,0.05067988319891464,0.07364629415471886,0.03582567933829664,0.2031031,0.1448387,0.004777422464371782,1.1359555006198063e-05,0.0023777581092970838,-4.0387959643339855e-10,0.7074068589163439,1.943039641809848,-8.339227424146314,170.68310793544393,-0.12218730534441455,2.9796514882933782,0.1754054596758305,3.3108526322568266,-0.12389838485272017,3.364156520704241,2.2064667277787298e-16,2.084600302726367e-16,1.1667840793973113e-16
Mt060_N512,0.6,0.5986590795553608,0.01775962993223236,0.17052632117894956,0.010632995653599047,122.1854178462958,7.717578409373995,0.09931453693194169,0.012128593523404266,0.07151754427024479,0.10883633725681001,-0.004873200626672089,0.04974111,0.1264589,0.009346184534620019,3.0419413712051204e-05,0.0032547413973447663,-3.631726031017024e-10,0.5958519214895283,1.8192662461517004,-8.484631643320316,148.99524533907507,0.008713242255088762,2.961594153910493,0.4418878114063836,3.3045356865303583,0.16621279764511948,2.9910986320188293,3.0538688668949515e-16,2.2178990608372754e-16,0.0
