case,Mt_target,Mt_mean,K_mean,Re_lambda_mean,Re_lambda_std,Re_error_percent,WENO_mean,eps_nu_mean,P_hv_mean,HV_to_viscous_percent,A_K,C_uv,E_LL_normalized,E_NN_normalized,chi_d,energy_cutoff_ratio,enstrophy_cutoff_ratio
Mt010_N512,0.1,0.10041543624161074,0.005041032469798657,129.42838926174497,8.787974705183505,-0.4397005678884861,0.014946308724832215,3.7241006711409394e-05,1.8658724832214765e-07,0.5010263276931866,0.08017727,0.03125783,0.03765614,0.06795334,0.002219,0.0,0.0
Mt025_N512,0.25,0.25020116279069765,0.03081028703488372,130.76482558139534,7.67810655815712,0.5883273703041098,0.03706395348837209,0.0005609982558139535,1.4214883720930233e-06,0.2533855243507991,0.08287862,-0.03722233,0.0906551,0.08642191,0.01269,0.0,0.0
Mt040_N512,0.4,0.4002893023255814,0.07729103711627906,132.68841860465116,6.75456078902819,2.068014311270124,0.06161395348837209,0.002358120930232558,6.070181395348837e-06,0.25741603484051157,0.1012257,0.059384,0.06001776,0.1450285,0.02911,0.0,1.639
Mt050_N512,0.5,0.4995695067264574,0.11876524304932735,125.24264573991032,6.171020490722851,-3.659503276992065,0.07195067264573991,0.004786493273542601,1.1402905829596412e-05,0.238230896356339,0.07784281,0.03398909,0.2031031,0.1448387,0.05068,0.7074,1.943
Mt060_N512,0.6,0.5988795275590552,0.17067271968503936,122.18224409448818,7.745050799909177,-6.013658388855244,0.09921259842519685,0.009364555118110237,3.053110236220473e-05,0.32602832678255295,0.1081642,-0.001892737,0.04974111,0.1264589,0.07152,0.5959,1.819
